Cited_app_nbr,App_nbr_x,count,Longitude,Latitude,App_nbr_y,end_Longitude,end_Latitude,count_sum,cited_Longitude,cited_Latitude,log,size
EP20130151238,EP20150182278,4,-0.135641,51.498091,EP20130151238,-0.135641,51.498091,,,,,
EP20100176991,EP20130151239,3,-0.135641,51.498091,EP20100176991,-0.135641,51.498091,,,,,
EP20100176991,EP20140190217,5,-0.135641,51.498091,EP20100176991,-0.135641,51.498091,,,,,
EP20100192588,EP20150168092,3,-0.135641,51.498091,EP20100192588,-0.135641,51.498091,,,,,
EP20120188780,EP20150168092,3,-0.135641,51.498091,EP20120188780,-0.135641,51.498091,,,,,
EP20100194834,EP20110178269,6,-0.135641,51.498091,EP20100194834,-0.135641,51.498091,,,,,
EP20110156446,EP20140151866,8,-0.135641,51.498091,EP20110156446,-0.135641,51.498091,,,,,
EP20140151153,EP20150150592,2,-0.135641,51.498091,EP20140151153,-0.135641,51.498091,,,,,
EP20120168518,EP20140158714,5,-0.135641,51.498091,EP20120168518,-0.135641,51.498091,,,,,
EP20120168518,EP20140161483,3,-0.135641,51.498091,EP20120168518,-0.135641,51.498091,,,,,
EP20120168518,EP20140161485,4,-0.135641,51.498091,EP20120168518,-0.135641,51.498091,,,,,
EP20120168518,EP20150151752,6,-0.135641,51.498091,EP20120168518,-0.135641,51.498091,,,,,
EP20120171444,EP20150168370,7,-0.135641,51.498091,EP20120171444,-0.135641,51.498091,,,,,
EP20120191015,EP20150193047,7,-1.466139,52.91504,EP20120191015,-0.135641,51.498091,,,,,
EP20120193315,EP20160190765,9,-0.135641,51.498091,EP20120193315,-0.135641,51.498091,,,,,
EP20150150476,EP20150165964,6,-0.135641,51.498091,EP20150150476,-0.135641,51.498091,,,,,
EP20150159004,EP20150185411,3,-0.135641,51.498091,EP20150159004,-0.135641,51.498091,,,,,
EP20130168161,EP20140184757,5,-0.135641,51.498091,EP20130168161,-0.135641,51.498091,,,,,
EP20130168161,EP20140184758,4,-0.135641,51.498091,EP20130168161,-0.135641,51.498091,,,,,
EP20130168163,EP20140184758,4,-0.135641,51.498091,EP20130168163,-0.135641,51.498091,,,,,
EP20130168164,EP20140184758,4,-0.135641,51.498091,EP20130168164,-0.135641,51.498091,,,,,
EP20130168164,EP20150159223,7,-0.135641,51.498091,EP20130168164,-0.135641,51.498091,,,,,
EP20130168164,EP20150192132,6,-0.135641,51.498091,EP20130168164,-0.135641,51.498091,,,,,
EP20140180787,EP20160166109,3,-0.135641,51.498091,EP20140180787,-0.135641,51.498091,,,,,
EP20140182764,EP20160166185,4,-0.135641,51.498091,EP20140182764,-0.135641,51.498091,,,,,
EP20140188725,EP20160178641,11,-0.135641,51.498091,EP20140188725,-0.135641,51.498091,,,,,
EP20070252935,EP20100194834,5,-0.135641,51.498091,EP20070252935,-0.135545887,51.49811565,,,,,
EP20010309795,EP20140161844,5,-1.455482,52.913095,EP20010309795,-0.097917,51.515524,,,,,
EP20010310035,EP20020779714,14,-0.097863046,51.51565155,EP20010310035,-0.097917,51.515524,,,,,
EP20050253273,EP20140172773,4,-0.018366,51.504083,EP20050253273,-0.097917,51.515524,,,,,
EP20070250428,EP20070255001,4,-0.097917,51.515524,EP20070250428,-0.097917,51.515524,,,,,
EP20070250428,EP20070255002,5,-0.097917,51.515524,EP20070250428,-0.097917,51.515524,,,,,
EP20070254407,EP20110250612,7,-0.097917,51.515524,EP20070254407,-0.097917,51.515524,,,,,
EP20100251572,EP20100251987,5,-0.097917,51.515524,EP20100251572,-0.097917,51.515524,,,,,
EP20100711070,EP20140250035,1,-0.097917,51.515524,EP20100711070,-0.097917,51.515524,,,,,
EP20110250227,EP20120250066,2,-0.097917,51.515524,EP20110250227,-0.097917,51.515524,,,,,
EP20110250227,EP20130250033,1,-0.097917,51.515524,EP20110250227,-0.097917,51.515524,,,,,
EP20110250227,EP20130250095,3,-0.097917,51.515524,EP20110250227,-0.097917,51.515524,,,,,
EP20130250024,EP20130250081,15,-0.097917,51.515524,EP20130250024,-0.097917,51.515524,,,,,
EP20130250026,EP20130250081,15,-0.097917,51.515524,EP20130250026,-0.097917,51.515524,,,,,
EP20020779714,EP20020779714,14,-0.097863046,51.51565155,EP20020779714,-0.097863046,51.51565155,,,,,
EP20010301679,EP20100178636,1,0.138729,52.23519,EP20010301679,0.129235,52.196849,,,,,
EP20010300673,EP20030256474,3,0.436239,51.421943,EP20010300673,0.436239,51.421943,,,,,
EP20020255232,EP20060254122,4,0.436239,51.421943,EP20020255232,0.436239,51.421943,,,,,
EP20030256474,EP20060254122,4,0.436239,51.421943,EP20030256474,0.436239,51.421943,,,,,
