Cited_app_nbr,App_nbr_x,count,Longitude,Latitude,App_nbr_y,end_Longitude,end_Latitude,count_sum,cited_Longitude,cited_Latitude,log,size
EP20010304212,EP20070255044,3,-1.817791,52.395771,EP20010304212,-0.409297,51.865325,51,-0.409297,51.865325,1.707570176,11.55943293
EP20120187698,EP20140191717,4,-0.760019,52.054863,EP20120187698,-0.760019,52.054863,4,-0.760019,52.054863,0.602059991,0.205655527
EP20050253284,EP20070109010,6,1.15114,52.05665,EP20050253284,1.15114,52.05665,6,1.15114,52.05665,0.77815125,0.318640467
EP20110186004,EP20140156949,3,-0.637854,52.065781,EP20110186004,-0.637854,52.065781,5,-0.637854,52.065781,0.698970004,0.274876306
EP20070018354,EP20110185400,2,-2.387656,52.154355,EP20070018354,-2.387656,52.154355,2,-2.387656,52.154355,0.301029996,0.099700897
EP20040256548,EP20050250345,5,1.09592,52.112123,EP20040256548,0.98464,52.189246,5,0.98464,52.189246,0.698970004,0.2596054
EP20100014245,EP20130003977,5,0.177502,52.192843,EP20100014245,0.177502,52.192843,5,0.177502,52.192843,0.698970004,0.258933195
EP20020252888,EP20140163910,8,0.0158109,50.873966,EP20020252888,-1.485397,52.195189,10,-1.485397,52.195189,1,1.152737752
EP20010301679,EP20050252653,2,0.129235,52.196849,EP20010301679,0.129235,52.196849,6,0.129235,52.196849,0.77815125,0.30565461
EP20100196951,EP20110167722,4,-0.951743,52.213885,EP20100196951,-0.951743,52.213885,15,-0.951743,52.213885,1.176091259,0.830367734
EP20030257624,EP20150000614,9,-1.00309,52.126655,EP20030257624,-1.061936,52.23496,9,-1.061936,52.23496,0.954242509,0.501672241
EP20050270077,EP20070270044,2,-1.491403,52.383737,EP20050270077,-1.491403,52.383737,2,-1.491403,52.383737,0.301029996,0.1
EP20060252126,EP20070255044,3,-1.817791,52.395771,EP20060252126,-1.817791,52.395771,54,-1.817791,52.395771,1.73239376,10.54579093
EP20010303421,EP20040256032,2,-1.919841,52.423649,EP20010303421,-1.919841,52.423649,18,-1.919841,52.423649,1.255272505,0.735680504
EP20010943633,EP20130162443,6,1.099014,52.429256,EP20010943633,1.099014,52.429256,6,1.099014,52.429256,0.77815125,0.317628375
EP20130165841,EP20130165836,10,-0.214538,52.583691,EP20130165841,-0.214538,52.583691,24,-0.214538,52.583691,1.380211242,3.618649965
EP20100795033,EP20130165836,10,-0.214538,52.583691,EP20100795033,-0.286193,52.613357,22,-0.286193,52.613357,1.342422681,5.342960289
EP20100252082,EP20130196116,4,-0.135641,51.498091,EP20100252082,-1.466139,52.91504,23,-1.466139,52.91504,1.361727836,5.008787346
EP20140187645,EP20160206012,8,-2.035038,52.949169,EP20140187645,-2.035038,52.949169,8,-2.035038,52.949169,0.903089987,0.435967302
EP20060255129,EP20150275233,3,-0.979662,53.35545,EP20060255129,-0.979662,53.35545,9,-0.979662,53.35545,0.954242509,0.998238403
EP20030257303,EP20110250807,2,-1.774416,53.648859,EP20030257303,-1.774416,53.648859,2,-1.774416,53.648859,0.301029996,0.099800399
EP20010306518,EP20100187207,2,-1.074305244,53.96565785,EP20010306518,-1.047358,53.94908,2,-1.047358,53.94908,0.301029996,0.1001001
EP20050252744,EP20100187207,2,-1.074305244,53.96565785,EP20050252744,-1.045381,53.949613,68,-1.045381,53.949613,1.832508913,1.800787845
EP20070250903,EP20120001288,2,-1.644189,55.046644,EP20070250903,-1.614588,54.967259,2,-1.614588,54.967259,0.301029996,0.0999001
EP20140179858,EP20140179858,32,-4.261165,55.860655,EP20140179858,-4.261165,55.860655,32,-4.261165,55.860655,1.505149978,2.440884821
EP20070732465,EP20140179858,32,-4.261165,55.860655,EP20070732465,-4.258478,55.862301,32,-4.258478,55.862301,1.505149978,2.501954652
EP20070254333,EP20140162967,2,-3.169228,55.934665,EP20070254333,-3.149146,55.883498,15,-3.149146,55.883498,1.176091259,1.32231405
EP20030795089,EP20070254333,2,-3.149146,55.883498,EP20030795089,-3.172445,55.92245,6,-3.172445,55.92245,0.77815125,0.606394708
EP20100813072,EP20160183888,4,-3.200983,55.951612,EP20100813072,-3.180296,55.935422,4,-3.180296,55.935422,0.602059991,0.204394481
EP20060256039,EP20110165440,7,-3.240986,55.93953,EP20060256039,-3.240986,55.93953,7,-3.240986,55.93953,0.84509804,0.371747212
EP20100701039,EP20120173378,4,-0.335355,51.310321,EP20100701039,-2.21831,56.970176,4,-2.21831,56.970176,0.602059991,0.204813108
EP20050253661,EP20070253490,16,-4.1878194,57.474318,EP20050253661,-4.188213,57.474014,56,-4.188213,57.474014,1.748188027,5.170630817
EP20050253661,EP20070253500,15,-4.1878194,57.474318,EP20050253661,-4.188213,57.474014,,,,,
EP20050253661,EP20070253502,15,-4.188213,57.474014,EP20050253661,-4.188213,57.474014,,,,,
EP20120155072,EP20100730658,5,-4.188213,57.474014,EP20120155072,-4.188213,57.474014,,,,,
EP20120155072,EP20140193924,5,-4.188213,57.474014,EP20120155072,-4.188213,57.474014,,,,,
EP20030795089,EP20130184979,7,-3.149146,55.883498,EP20030795089,-3.172445,55.92245,,,,,
EP20130184979,EP20150178361,14,-3.149146,55.883498,EP20130184979,-3.149146,55.883498,,,,,
EP20140170469,EP20160157109,11,-3.149146,55.883498,EP20140170469,-3.149146,55.883498,,,,,
EP20140713232,EP20160157109,11,-3.149146,55.883498,EP20140713232,-3.149146,55.883498,,,,,
EP20130158906,EP20140185036,5,-3.017772,51.651095,EP20130158906,-3.017772,51.651095,,,,,
EP20130158906,EP20140172410,7,-3.017772,51.651095,EP20130158906,-3.017772,51.651095,,,,,
EP20040257881,EP20130180589,9,-3.017772,51.651095,EP20040257881,-3.017772,51.651095,,,,,
EP20050252820,EP20070251869,3,-3.017772,51.651095,EP20050252820,-3.017772,51.651095,,,,,
EP20050252820,EP20150177728,3,-3.017772,51.651095,EP20050252820,-3.017772,51.651095,,,,,
EP20050252820,EP20150275260,3,-3.017772,51.651095,EP20050252820,-3.017772,51.651095,,,,,
EP20120187188,EP20150275260,3,-3.017772,51.651095,EP20120187188,-3.017772,51.651095,,,,,
EP20120187188,EP20160202583,7,-3.017772,51.651095,EP20120187188,-3.017772,51.651095,,,,,
EP20130152037,EP20150275260,3,-3.017772,51.651095,EP20130152037,-3.017772,51.651095,,,,,
EP20130152037,EP20150275261,3,-3.017772,51.651095,EP20130152037,-3.017772,51.651095,,,,,
EP20130152037,EP20160202583,7,-3.017772,51.651095,EP20130152037,-3.017772,51.651095,,,,,
EP20050252973,EP20110178683,4,-3.017772,51.651095,EP20050252973,-3.017772,51.651095,,,,,
EP20070251869,EP20150275261,3,-3.017772,51.651095,EP20070251869,-3.017772,51.651095,,,,,
EP20070251869,EP20160202583,7,-3.017772,51.651095,EP20070251869,-3.017772,51.651095,,,,,
EP20140172410,EP20160172941,6,-3.017772,51.651095,EP20140172410,-3.017772,51.651095,,,,,
EP20140185036,EP20160172941,6,-3.017772,51.651095,EP20140185036,-3.017772,51.651095,,,,,
EP20100250016,EP20110250062,4,-2.770922,50.977753,EP20100250016,-2.770922,50.977753,,,,,
EP20130179005,EP20160155777,3,-2.574941,51.509749,EP20130179005,-2.574941,51.509749,,,,,
EP20140701829,EP20150714916,4,-2.574941,51.509749,EP20140701829,-2.574941,51.509749,,,,,
EP20160161289,EP20160190837,8,-2.574941,51.509749,EP20160161289,-2.574941,51.509749,,,,,
EP20070356060,EP20070356154,1,-2.380666,51.63492,EP20070356060,-2.380666,51.63492,,,,,
EP20070356061,EP20070356154,1,-2.380666,51.63492,EP20070356061,-2.380666,51.63492,,,,,
EP20010309858,EP20040256032,2,-1.919841,52.423649,EP20010309858,-1.919841,52.423649,,,,,
EP20030252282,EP20030258142,2,-1.919841,52.423649,EP20030252282,-1.919841,52.423649,,,,,
EP20070250175,EP20110773811,3,-0.08431,51.500087,EP20070250175,-1.854033,50.868631,,,,,
EP20040254434,EP20070253569,6,-1.817791,52.395771,EP20040254434,-1.817791,52.395771,,,,,
EP20040256161,EP20070253569,3,-1.817791,52.395771,EP20040256161,-1.817791,52.395771,,,,,
EP20040256161,EP20060255472,5,-1.817791,52.395771,EP20040256161,-1.817791,52.395771,,,,,
EP20040256161,EP20060255853,2,-0.135641,51.498091,EP20040256161,-1.817791,52.395771,,,,,
EP20040256161,EP20060255966,1,-0.135641,51.498091,EP20040256161,-1.817791,52.395771,,,,,
EP20040256161,EP20160183430,5,-2.574941,51.509749,EP20040256161,-1.817791,52.395771,,,,,
EP20050250256,EP20120187159,7,-1.466139,52.91504,EP20050250256,-1.817791,52.395771,,,,,
EP20060255472,EP20100252082,6,-1.466139,52.91504,EP20060255472,-1.817791,52.395771,,,,,
EP20060255472,EP20140190644,6,-0.135641,51.498091,EP20060255472,-1.817791,52.395771,,,,,
EP20070253569,EP20100251310,3,-1.466139,52.91504,EP20070253569,-1.817791,52.395771,,,,,
EP20070255044,EP20100251310,3,-1.466139,52.91504,EP20070255044,-1.817791,52.395771,,,,,
EP20060270089,EP20110193352,3,-1.4890123,52.388249,EP20060270089,-1.485397,52.195189,,,,,
EP20100252082,EP20140171031,6,-1.466139,52.91504,EP20100252082,-1.466139,52.91504,,,,,
EP20100252082,EP20140171037,8,-1.466139,52.91504,EP20100252082,-1.466139,52.91504,,,,,
EP20100251310,EP20100252082,6,-1.466139,52.91504,EP20100251310,-1.466139,52.91504,,,,,
EP20100757752,EP20150198680,9,-0.135641,51.498091,EP20100757752,-1.466139,52.91504,,,,,
EP20120188709,EP20140184380,6,-1.466139,52.91504,EP20120188709,-1.466139,52.91504,,,,,
EP20120250051,EP20160158876,10,-0.135641,51.498091,EP20120250051,-1.466139,52.91504,,,,,
EP20100176463,EP20140169548,6,-1.319747,51.416719,EP20100176463,-1.319747,51.416719,,,,,
EP20100176463,EP20140199306,6,-1.319747,51.416719,EP20100176463,-1.319747,51.416719,,,,,
